x,y,ap1,ap2,ap3
0,0,-54,-60.8571,-48
0,3,-54,-65,-48
3,3,-63,-72.4286,-50
3,0,-71,-65.619,-43
6,0,-71,-58,-43
6,3,-71,-64.0476,-43
9,0,-71,-64.1429,-43
9,3,-71,-50.5714,-43
12,0,-61,-60.2381,-40
12,3,-61,-51.381,-40
15,0,-61,-59.0952,-40
15,3,-61,-57.6667,-40
18,0,-61,-52.1429,-40
18,3,-61,-52.1429,-40
21,0,-61,-60.5714,-40
21,3,-95,-57,-67
24,0,-95,-51,-67
24,3,-95,-43.8095,-67
27,0,-95,-49.0952,-67
27,3,-95,-44.2857,-67
30,0,-95,-32.1429,-67
30,3,-95,-60.9048,-67
33,0,-95,-45.381,-67
33,3,-95,-58.4762,-67
36,0,-95,-45,-67
36,3,-95,-54.4762,-67
