
"id_pos","x","y","distancia","correct_x","correct_y","ap1","ap2","ap3","tempo"
"1","0","0","4.4196","9","0","-75","-47","-64","0"
"1","0","3","14.0981","9","0","-75","-56","-70","0"
"1","0","6","13.3418","9","0","-75","-55","-70","0"
"1","0","9","18.3225","9","0","-67","-61","-62","0"
"1","0","12","13.9284","9","0","-73","-41","-73","0"
"1","0","15","21.9773","9","0","-67","-65","-62","0"
"1","0","18","20.347","9","0","-71","-65","-59","0"
"1","3","0","12.1455","9","0","-72","-52","-52","0"
"1","3","3","19.7892","9","0","-72","-63","-52","0"
"1","3","6","16.4405","9","0","-72","-58","-52","0"
"1","3","9","25.589","9","0","-72","-69","-52","0"
"1","3","12","22.3199","9","0","-72","-66","-52","0"
"1","3","15","19.1519","9","0","-71","-64","-59","0"
"1","3","18","24.1247","9","0","-71","-69","-59","0"
"1","6","0","13.1833","9","0","-83","-48","-73","0"
"1","6","3","17.0294","9","0","-83","-57","-73","0"
"1","9","0","13.4817","9","0","-83","-50","-73","0"
"1","9","3","16.6958","9","0","-83","-56","-73","0"
"1","12","0","13.0588","9","0","-83","-47","-73","0"
"1","12","3","13.1253","9","0","-83","-44","-73","0"
"1","15","0","16.7557","9","0","-83","-35","-73","0"
"1","15","3","16.1555","9","0","-71","-42","-75","0"
"1","18","0","10.7144","9","0","-74","-37","-64","0"
"1","18","3","11.351","9","0","-74","-36","-64","0"
"1","21","0","5.0651","9","0","-74","-45","-64","0"
"1","21","3","5.09902","9","0","-74","-45","-64","0"
"1","24","0","5.00363","9","0","-74","-46","-64","0"
"1","24","3","5.00816","9","0","-74","-46","-64","0"
"1","27","0","5.83095","9","0","-74","-43","-64","0"
"1","27","3","5.00816","9","0","-74","-46","-64","0"
"1","30","0","9.88206","9","0","-74","-55","-64","0"
"1","30","3","5.02263","9","0","-74","-46","-64","0"
"1","33","0","5.02263","9","0","-74","-46","-64","0"
"1","33","3","14.8661","9","0","-74","-60","-64","0"
"1","36","0","23.9227","9","0","-65","-55","-79","0"
"1","36","3","14.1954","9","0","-74","-59","-64","0"
"2","0","0","4.31051","9","0","-75","-47","-64","4"
"2","0","3","12.6902","9","0","-75","-56","-70","4"
"2","0","6","12.0199","9","0","-75","-55","-70","4"
"2","0","9","16.7702","9","0","-67","-61","-62","4"
"2","0","12","14.7648","9","0","-73","-41","-73","4"
"2","0","15","20.2731","9","0","-67","-65","-62","4"
"2","0","18","18.4932","9","0","-71","-65","-59","4"
"2","3","0","11.3762","9","0","-72","-52","-52","4"
"2","3","3","18.1473","9","0","-72","-63","-52","4"
"2","3","6","14.9922","9","0","-72","-58","-52","4"
"2","3","9","23.7915","9","0","-72","-69","-52","4"
"2","3","12","20.5933","9","0","-72","-66","-52","4"
"2","3","15","17.3188","9","0","-71","-64","-59","4"
"2","3","18","22.2261","9","0","-71","-69","-59","4"
"2","6","0","13.0014","9","0","-83","-48","-73","4"
"2","6","3","15.8114","9","0","-83","-57","-73","4"
"2","9","0","13.0946","9","0","-83","-50","-73","4"
"2","9","3","15.5192","9","0","-83","-56","-73","4"
"2","12","0","13.0223","9","0","-83","-47","-73","4"
"2","12","3","13.5467","9","0","-83","-44","-73","4"
"2","15","0","18.0842","9","0","-83","-35","-73","4"
"2","15","3","16.7631","9","0","-71","-42","-75","4"
"2","18","0","12.5181","9","0","-74","-37","-64","4"
"2","18","3","13.1761","9","0","-74","-36","-64","4"
"2","21","0","5.73527","9","0","-74","-45","-64","4"
"2","21","3","5.83095","9","0","-74","-45","-64","4"
"2","24","0","5.31736","9","0","-74","-46","-64","4"
"2","24","3","5.49767","9","0","-74","-46","-64","4"
"2","27","0","7.07107","9","0","-74","-43","-64","4"
"2","27","3","5.28572","9","0","-74","-46","-64","4"
"2","30","0","8.21949","9","0","-74","-55","-64","4"
"2","30","3","5.22704","9","0","-74","-46","-64","4"
"2","33","0","5.57957","9","0","-74","-46","-64","4"
"2","33","3","13","9","0","-74","-60","-64","4"
"2","36","0","23.2524","9","0","-65","-55","-79","4"
"2","36","3","12.3437","9","0","-74","-59","-64","4"
"3","0","0","4.24932","9","0","-75","-47","-64","6"
"3","0","3","13.3753","9","0","-75","-56","-70","6"
"3","0","6","12.6586","9","0","-75","-55","-70","6"
"3","0","9","17.535","9","0","-67","-61","-62","6"
"3","0","12","14.3178","9","0","-73","-41","-73","6"
"3","0","15","21.1187","9","0","-67","-65","-62","6"
"3","0","18","19.4165","9","0","-71","-65","-59","6"
"3","3","0","11.7245","9","0","-72","-52","-52","6"
"3","3","3","18.9597","9","0","-72","-63","-52","6"
"3","3","6","15.7012","9","0","-72","-58","-52","6"
"3","3","9","24.6864","9","0","-72","-69","-52","6"
"3","3","12","21.4507","9","0","-72","-66","-52","6"
"3","3","15","18.231","9","0","-71","-64","-59","6"
"3","3","18","23.1733","9","0","-71","-69","-59","6"
"3","6","0","13.0544","9","0","-83","-48","-73","6"
